DTA_CST;COD_CDL;NME_SEG;NME_SBSEG;FXA_INI;FXA_FIM;FXA_UNI;TAR_SIM;VOL_FXA;VOL_ACU;FAT_FXA;FAT_ACU;TAR_MED
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;0;500;NAO;1,7352;500;500;867,6;867,6;1,7352
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;500;1000;NAO;1,7236;500;1000;861,8;1729,4;1,7294
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;1000;5000;NAO;1,712;4000;5000;6848;8577,4;1,7155
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;5000;10000;NAO;1,7004;5000;10000;8502;17079,4;1,7079
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;10000;20000;NAO;1,6888;10000;20000;16888;33967,4;1,6984
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;20000;50000;NAO;1,6763;30000;50000;50289;84256,4;1,6851
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;50000;100000;NAO;1,664;50000;100000;83200;167456,4;1,6746
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;100000;150000;NAO;1,6521;50000;150000;82605;250061,4;1,6671
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;150000;200000;NAO;1,6416;50000;200000;82080;332141,4;1,6607
13/03/2019;ALGAS;COGERACAO;NAO POSSUI;200000;400000;NAO;1,6312;200000;400000;326240;658381,4;1,646
13/03/2019;ALGAS;COMERCIAL;NAO POSSUI;0;100;NAO;3,6555;100;100;365,55;365,55;3,6555
13/03/2019;ALGAS;COMERCIAL;NAO POSSUI;100;500;NAO;3,4385;400;500;1375,4;1740,95;3,4819
13/03/2019;ALGAS;COMERCIAL;NAO POSSUI;500;1000;NAO;3,0138;500;1000;1506,9;3247,85;3,2479
13/03/2019;ALGAS;COMERCIAL;NAO POSSUI;1000;1500;NAO;2,8963;500;1500;1448,15;4696;3,1307
13/03/2019;ALGAS;COMERCIAL;NAO POSSUI;1500;3000;NAO;2,5947;1500;3000;3892,05;8588,05;2,8627
13/03/2019;ALGAS;COMERCIAL;NAO POSSUI;3000;6000;NAO;2,4136;3000;6000;7240,8;15828,85;2,6381
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;0;100;NAO;2,0041;100;100;200,41;200,41;2,0041
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;100;500;NAO;1,8686;400;500;747,44;947,85;1,8957
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;500;1000;NAO;1,8357;500;1000;917,85;1865,7;1,8657
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;1000;5000;NAO;1,7781;4000;5000;7112,4;8978,1;1,7956
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;5000;10000;NAO;1,7068;5000;10000;8534;17512,1;1,7512
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;10000;20000;NAO;1,6818;10000;20000;16818;34330,1;1,7165
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;20000;50000;NAO;1,6696;30000;50000;50088;84418,1;1,6884
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;50000;100000;NAO;1,6576;50000;100000;82880;167298,1;1,673
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;100000;150000;NAO;1,646;50000;150000;82300;249598,1;1,664
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;150000;200000;NAO;1,6357;50000;200000;81785;331383,1;1,6569
13/03/2019;ALGAS;INDUSTRIAL;NAO POSSUI;200000;400000;NAO;1,6257;200000;400000;325140;656523,1;1,6413
13/03/2019;ALGAS;RESIDENCIAL;NAO POSSUI;0;50;NAO;4,6807;50;50;234,03;234,03;4,6806
13/03/2019;ALGAS;RESIDENCIAL;NAO POSSUI;50;100;NAO;4,0058;50;100;200,29;434,32;4,3432
13/03/2019;ALGAS;RESIDENCIAL;NAO POSSUI;100;300;NAO;3,7442;200;300;748,84;1183,16;3,9439
13/03/2019;ALGAS;RESIDENCIAL;NAO POSSUI;300;600;NAO;3,5637;300;600;1069,11;2252,27;3,7538
13/03/2019;ALGAS;VEICULAR;NAO POSSUI;0;0;SIM;1,6672;0;0;0;0;1,6672
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;0;450;NAO;2,1957;450;450;988,06;988,06;2,1957
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;450;1500;NAO;1,7624;1050;1500;1850,52;2838,58;1,8924
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;1500;4500;NAO;1,7257;3000;4500;5177,1;8015,68;1,7813
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;4500;15000;NAO;1,6661;10500;15000;17494,05;25509,73;1,7006
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;15000;30000;NAO;1,6654;15000;30000;24981;50490,73;1,683
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;30000;180000;NAO;1,6523;150000;180000;247845;298335,73;1,6574
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;180000;360000;NAO;1,6436;180000;360000;295848;594183,73;1,6505
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;360000;600000;NAO;1,6212;240000;600000;389088;983271,73;1,6388
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;600000;1050000;NAO;1,6041;450000;1050000;721845;1705116,73;1,6239
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;1050000;1800000;NAO;1,5888;750000;1800000;1191600;2896716,73;1,6093
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;1800000;30000000;NAO;1,5773;28200000;30000000;44479860;47376576,73;1,5792
13/03/2019;BAHIAGAS;COGERACAO;NAO POSSUI;30000000;60000000;NAO;1,5483;30000000;60000000;46449000;93825576,73;1,5638
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;0;450;NAO;3,3076;450;450;1488,42;1488,42;3,3076
13/03/2019;BAHIAGAS;COMERCIAL;NAO POSSUI;450;1500;NAO;2,0928;1050;1500;2197,44;3685,86;2,4572
