DTA_CST,COD_CDL,NME_SEG,NME_SBSEG,FXA_INI,FXA_FIM,FXA_UNI,FXA_IGUAL,TAR_SIM,VOL_FXA,VOL_ACU,FAT_FXA,FAT_ACU,TAR_MED
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,0,70,NAO,VERDADEIRO,"2,4920",70,70,"174,44","174,44","2,492"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,70,4500,NAO,VERDADEIRO,"2,1080",4430,4500,"9338,44","9512,880000000001","2,114"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,4500,9000,NAO,VERDADEIRO,"2,0270",4500,9000,"9121,5","18634,38","2,0705"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,9000,18000,NAO,VERDADEIRO,"1,9670",9000,18000,"17703,0","36337,380000000005","2,0187"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,18000,36000,NAO,VERDADEIRO,"1,9170",18000,36000,"34506,0","70843,38","1,9679"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,36000,72000,NAO,VERDADEIRO,"1,8670",36000,72000,"67212,0","138055,38","1,9174"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,72000,144000,NAO,VERDADEIRO,"1,8370",72000,144000,"132264,0","270319,38","1,8772"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,144000,288000,NAO,VERDADEIRO,"1,7720",144000,288000,"255168,0","525487,38","1,8246"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,288000,576000,NAO,VERDADEIRO,"1,7170",288000,576000,"494496,0","1019983,38","1,7708"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,576000,1152000,NAO,VERDADEIRO,"1,6770",576000,1152000,"965952,0","1985935,38","1,7239"
01/08/2019,SERGAS,INDUSTRIAL,NAO POSSUI,1152000,2304000,NAO,VERDADEIRO,"1,6470",1152000,2304000,"1897344,0","3883279,38","1,6855"
